Rank,Creator_URL,Creator,Creator1,Patrons,DaysRunning,Launched
43,https://graphtreon.com/creator/EasyAllies,Easy Allies is creating Video Game Streams and Shows (EasyAllies),Easy Allies,8727,1602,Mar-16
44,https://graphtreon.com/creator/adeptussteve,Adeptus Steve is creating Wild Life - An Adult RPG (adeptussteve)nsfw,Adeptus Steve,8656,1589,Apr-16
45,https://graphtreon.com/creator/alexmasse,"Alex MassÃ© is creating Paralives, a life simulation game (alexmasse)",Alex MassÃ©,8653,462,May-19
46,https://graphtreon.com/creator/popcast,The Popcast with Knox and Jamie is creating Podcast Episodes (popcast),The Popcast with Knox and Jamie,8314,1887,Jun-15
47,https://graphtreon.com/creator/thefantasyfootballers,The Fantasy Footballers is creating Fantasy Football Podcasts (thefantasyfootballers),The Fantasy Footballers,8077,1811,Aug-15
48,https://graphtreon.com/creator/thetimdillonshow,The Tim Dillon Show is creating a podcast (thetimdillonshow),The Tim Dillon Show,7971,359,Aug-19
49,https://graphtreon.com/creator/3blue1brown,3Blue1Brown is creating videos animating math (3blue1brown),3Blue1Brown,7933,1381,Oct-16
50,https://graphtreon.com/creator/thenormies,"The Normies is creating comedy sketches, reactions, reviews, and vlogs on  YouTube! (thenormies)",The Normies,7812,1385,Oct-16
51,https://graphtreon.com/creator/SnowFreaks,SnowFreaks is creating Accurate winter weather predictions with a bit of humor and fun! (SnowFreaks),SnowFreaks,7784,550,Feb-19
52,https://graphtreon.com/creator/JoeyDiaz,"The Mind of Joey Diaz is creating Blog posts, videos, and motivation like only Joey can bring it! (JoeyDiaz)",The Mind of Joey Diaz,7715,25,Jul-20
53,https://graphtreon.com/creator/jimquisition,Jim Sterling is creating The Jimquisition (jimquisition),Jim Sterling,7665,2097,Nov-14
54,https://graphtreon.com/creator/MSsecretpod,Matt and Shane's Secret Podcast is creating Hot Casts (MSsecretpod),Matt and Shane's Secret Podcast,7611,323,Sep-19
55,https://graphtreon.com/creator/DrPinkCake,DrPinkCake is creating Adult games (DrPinkCake)nsfw,DrPinkCake,7401,843,Apr-18
56,https://graphtreon.com/creator/ChristineHMcConnell,Christine McConnell is creating Instructional Content (ChristineHMcConnell),Christine McConnell,7299,390,Jul-19
57,https://graphtreon.com/creator/wehatemovies,We Hate Movies is creating Podcasts (wehatemovies),We Hate Movies,7286,1443,Aug-16
58,https://graphtreon.com/creator/lindsayellis,Lindsay Ellis is creating video essays (lindsayellis),Lindsay Ellis,7280,1977,Mar-15
59,https://graphtreon.com/creator/MrCarlsonsLab,Mr Carlson's Lab is creating  Electronic Projects and Sharing Knowledge (MrCarlsonsLab),Mr Carlson's Lab,7242,1298,Jan-17
60,https://graphtreon.com/creator/RedScare,Red Scare is creating podcasts (RedScare),Red Scare,7187,865,Mar-18
61,https://graphtreon.com/creator/blankcheck,Blank Check with Griffin & David is creating Podcasts (blankcheck),Blank Check with Griffin & David,6991,603,Dec-18
62,https://graphtreon.com/creator/KawaiiStacie,Kawaiistacie is creating Mods for The Sims 4 (KawaiiStacie),Kawaiistacie,6914,918,Feb-18
63,https://graphtreon.com/creator/theminorities3,the minorities is creating Exclusive Content and Podcasts (theminorities3)nsfw,the minorities,6910,429,Jun-19
64,https://graphtreon.com/creator/WarpWorld,Warp World is creating podcasts and innovative tools for Video Game broadcasters (WarpWorld),Warp World,6906,751,Jul-18
65,https://graphtreon.com/creator/dungeonsanddads,Dungeons and Daddies is creating premium dad audio content (dungeonsanddads),Dungeons and Daddies,6719,461,May-19
66,https://graphtreon.com/creator/titanforgeminis,"Titan-Forge Miniatures is creating 3D Models for 3D Printing - RPG, Board & Tabletop Games (titanforgeminis)",Titan-Forge Miniatures,6694,261,Nov-19
67,https://graphtreon.com/creator/ArtisanGuild,Artisan Guild is creating Excellent 3d Printable Miniatures for your games! (ArtisanGuild),Artisan Guild,6584,474,Apr-19
68,https://graphtreon.com/creator/morepurplemorebetter,MorePurpleMoreBetter is creating DnD character sheets (morepurplemorebetter),MorePurpleMoreBetter,6569,1304,Jan-17
69,https://graphtreon.com/creator/stefaniaferrario,"Stefania Ferrario is creating artistic nudes, retro visions, pin-up ðŸ¾ RAW! RRROAR!! (stefaniaferrario)nsfw",Stefania Ferrario,6500,297,Oct-19
70,https://graphtreon.com/creator/tellemstevedave,Tell 'em Steve-Dave! is creating Podcasts (tellemstevedave),Tell 'em Steve-Dave!,6453,777,Jun-18
71,https://graphtreon.com/creator/fivem,Cfx.re/The CitizenFX Collective is creating FiveM for GTA V (fivem),Cfx.re/The CitizenFX Collective,6344,1203,Apr-17
72,https://graphtreon.com/creator/TheGrapevineTV,The Grapevine TV is creating A Talk Show (TheGrapevineTV),The Grapevine TV,6338,849,Apr-18
73,https://graphtreon.com/creator/Sseth,SsethTzeentach is creating high level shitposting (Sseth),SsethTzeentach,6243,1099,Aug-17
74,https://graphtreon.com/creator/sonicether,Sonic Ether is creating Minecraft Shaders (sonicether),Sonic Ether,6202,1030,Oct-17
75,https://graphtreon.com/creator/crashcourse,"Crash Course is creating free, high-quality educational videos (crashcourse)",Crash Course,6190,1973,Mar-15
76,https://graphtreon.com/creator/icstor,ICSTOR is creating ADULT GAMES (icstor)nsfw,ICSTOR,6165,1826,Aug-15
77,https://graphtreon.com/creator/user?u=121401,Fenoxo Fenfen is creating Adult INTERACTIVE FICTION (18+)nsfw,Fenoxo Fenfen,6148,2322,Apr-14
78,https://graphtreon.com/creator/drawfee,Drawfee is creating videos and illustrated art (drawfee),Drawfee,6112,38,Jul-20
79,https://graphtreon.com/creator/ologies,Alie Ward is creating a podcast featuring ologists of all kinds. (ologies),Alie Ward,6090,1055,Sep-17
80,https://graphtreon.com/creator/justkiddingnews,JustKiddingNews is creating Videos (justkiddingnews),JustKiddingNews,5962,360,Aug-19
81,https://graphtreon.com/creator/JennyNicholson,Jenny Nicholson is creating videos (JennyNicholson),Jenny Nicholson,5957,1361,Nov-16
82,https://graphtreon.com/creator/PhilosophyTube,Philosophy Tube is creating Philosophy Videos (PhilosophyTube),Philosophy Tube,5874,2149,Sep-14
83,https://graphtreon.com/creator/clickspring,Clickspring is creating Home Machine Shop Project Videos (clickspring),Clickspring,5872,1907,May-15
84,https://graphtreon.com/creator/philosophizethis,stephen west is creating Podcasts (philosophizethis),stephen west,5819,1668,Jan-16
85,https://graphtreon.com/creator/BreedersOfTheNephelym,DerelictHelmsman is creating Breeders of the Nephelym (BreedersOfTheNephelym)nsfw,DerelictHelmsman,5797,1217,Apr-17
86,https://graphtreon.com/creator/theralphreport,Ralph Garman is creating a daily audio show! (theralphreport),Ralph Garman,5675,952,Dec-17
87,https://graphtreon.com/creator/swiftlessons,Rob Swift is creating World Class Guitar Lessons (swiftlessons),Rob Swift,5658,1980,Mar-15
88,https://graphtreon.com/creator/sleepwithme,Sleep With Me Podcast is creating Podcasts (sleepwithme),Sleep With Me Podcast,5602,1666,Jan-16
89,https://graphtreon.com/creator/rttv_,RT TV is creating Reactions to the hottest pop culture phenomenons!  (rttv_)nsfw,RT TV,5572,784,Jun-18
90,https://graphtreon.com/creator/DFFPodcast,PESSIMIST PRODUCTIONS is creating videos and more (DFFPodcast),PESSIMIST PRODUCTIONS,5566,935,Jan-18
91,https://graphtreon.com/creator/wineandcrimepod,Wine & Crime is creating a true crime / comedy podcast! (wineandcrimepod),Wine & Crime,5522,1299,Jan-17
92,https://graphtreon.com/creator/wlop,"WLOP is creating Comic, Illustrations, 3d animation (wlop)",WLOP,5476,2030,Jan-15
93,https://graphtreon.com/creator/CANADALAND,CANADALAND is creating podcasts & news (CANADALAND),CANADALAND,5456,2162,Sep-14
94,https://graphtreon.com/creator/supermega,"SuperMega is creating comedy videos, podcasts, and more! (supermega)",SuperMega,5424,434,Jun-19
95,https://graphtreon.com/creator/seriallos,Seriallos is creating Raidbots (seriallos),Seriallos,5411,1302,Jan-17
96,https://graphtreon.com/creator/rileytestut,Riley Testut is creating apps (rileytestut),Riley Testut,5392,354,Aug-19
97,https://graphtreon.com/creator/doubledownnews,Double Down News is creating the Future of Journalism (doubledownnews),Double Down News,5369,575,Jan-19
98,https://graphtreon.com/creator/simonshen,æ²ˆæ—­æš‰ Simon Shen is creating knowledge and video relating to international relations and HK (simonshen),æ²ˆæ—­æš‰ Simon Shen,5360,63,Jun-20
99,https://graphtreon.com/creator/scishow,SciShow is creating YouTube Videos about Science (scishow),SciShow,5355,1973,Mar-15
100,https://graphtreon.com/creator/hellointernet,Hello Internet is creating Podcasts (hellointernet),Hello Internet,5342,2112,Oct-14
